# origin	format	category	title	description	source_url
recent	tweet	print	Vintage Postage Stamps	A curated collection of vintage postage stamps from Netherlands, Nigeria, Czechoslovakia, and Mongolia featuring folk art, wildlife, and animal illustrations.	https://x.com/bkoerth/status/2078909331236405637
recent	tweet	illustration	macOS Icon Pack	A set of five macOS app icons with a soft, glossy inflated aesthetic covering Finder, Music, Mail, and more, rendered in vibrant colors on a clean white background.	https://x.com/tomthings1/status/2079140910521077850
recent	tweet	motion	Glitch Brush Study	A high-contrast abstract animation of brushlike black forms and pixelated fragments moving across a white field.	https://www.instagram.com/p/DaX9dkejcGU/
recent	tweet	3d	Retro Cartridge Cards	A personal resume reimagined as NES-style game cartridges, each rendered in 3D and branded for companies like Vercel, GitHub, Azure DevOps, and Microsoft.	https://x.com/mamuso/status/2076206249927139444
recent	tweet	interface	Liquid Glass Button	A Framer-built liquid glass button paired with a chromatic metal shader, showcasing translucent refraction and glossy rainbow-edged materials.	https://www.instagram.com/p/Dape1rDkgqT/
recent	tweet	print	Cat Stamp Print	A bold screen-printed cat graphic with rough texture and playful handmade character on a fabric-like paper background.	https://www.instagram.com/p/DX1FX6cFTKj/
recent	tweet	motion	Finder Character	A looping character animation of a playful blue Mac Finder icon brought to life, waving with soft sparkles on a clean gradient background.	https://www.instagram.com/p/Da3XWXnxq1m/
recent	tweet	motion	WebGL Heightfield Cards	A WebGL raymarching heightfield experiment featuring pairs of curved cards displaying continuously morphing organic textures including shells, abalone, and clouds with iridescent coloring.	https://x.com/markovurnek_/status/2078889293540417861
recent	tweet	print	The Odyssey Posters	A set of eight fan-made alternative movie posters for Nolan's The Odyssey, each featuring painterly illustrations with dark earthy palettes and bold serif typography.	https://x.com/oliverhamrin/status/2078885696358518984
recent	tweet	branding	Seoul Biennale Identity	A radiant visual identity system for the 13th Seoul Media City Biennale, using glowing halo forms across posters, banners, and exhibition signage.	https://www.instagram.com/p/DaJCBQFn9xr/
recent	tweet	motion	Micrographics System	A stark black-and-white motion piece built from futuristic micrographics, technical labels, and industrial typography.	https://www.instagram.com/reel/DX6p-RoRXtO/
recent	tweet	print	Flyer Archive	A striking archive of club flyers with glossy surreal materials, bold type, and neon pink-purple poster compositions.	https://www.instagram.com/p/DalR5ltDo67/
recent	tweet	web	Spanish Learning App Website	A playful landing page for a Spanish learning app with an illustrated parrot mascot, floating flag icons, and an animated headline cycling between English and Spanish.	https://x.com/Studiyoco/status/2078496834755178961
recent	tweet	print	Keep Going Poster	A glossy Y2K typography poster with liquid rainbow letters and a bold motivational quote on a dark background.	https://www.instagram.com/p/Da5psANCeId/
recent	tweet	motion	Receipt Collage Animation	A high-contrast animated collage that layers a cartoon figure over receipts and invoice textures in a glitchy poster composition.	https://www.instagram.com/p/DZ7p71NtmhK/
recent	tweet	3d	Plot Device 3D Render	A detailed Blender 3D render of a mechanical enclosure with chrome knobs, a dial, and a red cube component, slowly rotating against a pure black background.	https://x.com/reijowrites/status/2078226632481898551
recent	tweet	motion	Micrographic Layout Studies	A monochrome reel of micrographic layout studies built from tiny type, symbols, and modular marks on a dark textured canvas.	https://www.instagram.com/reel/DXsI-AFkirC/
recent	tweet	branding	Modern Rad Refresh	A bold brand refresh with neon colors, playful icon forms, and animated graphic systems that feel sharp and electric.	https://www.instagram.com/p/DZKVEbStlD2/
recent	tweet	print	Blue Note Jazz Festival Posters	A set of jazz festival poster designs in portrait, banner, and square formats featuring bold serif type and vintage silhouette illustrations on a monochromatic blue palette.	https://x.com/MelisaSeah/status/2078281201149006294
recent	tweet	motion	Design in Motion	A bold motion identity for Design in Motion Festival built from distorted typography, stark black-and-white graphics, and 3D worlds of light and shadow.	https://www.instagram.com/p/DaS-EVLjLY5/
recent	tweet	branding	Body Wave Identity	A bold black and white identity system exploring playful abstract logo marks and wordmark lockups for Body Wave.	https://www.instagram.com/p/DavruMPCFC5/
recent	tweet	branding	Unbox Identity System	A vibrant brand identity system for Unbox featuring fluid gradients, logo applications, and mockups across screens, signage, and objects.	https://www.instagram.com/p/DaNcapRiCg6/
recent	tweet	illustration	Nike Chrome Lettering	A series of polished chrome hand-lettering illustrations of the Nike wordmark, each rendered with metallic shading and grain across six bold colorways.	https://www.instagram.com/p/DT8PcT7ipoH/
recent	tweet	motion	Jelly Slider	A physics-driven slider component with fluid jelly deformation rendered entirely via GPU shaders in TypeGPU, featuring organic wobble and stretch behavior as the thumb moves along the track.	https://x.com/reczko_konrad/status/1985296691331809574
recent	tweet	motion	Jelly Switch	A WebGPU-powered toggle switch reimagined as a jiggly jelly object, using SDF-based rendering to achieve organic, physics-driven deformation and glowing color transitions.	https://x.com/iwoplaza/status/1988556641583714392
recent	tweet	motion	Stamp Folder Animation	A playful 3D stamp folder concept animating open to reveal illustrated Japanese postage stamps, cycling through gold, pink, and black color variants with smooth spring physics.	https://x.com/AdityaSur11/status/2077958975140642936
recent	tweet	motion	Soundré Website Loader	A cinematic page loader for Soundré design studio that transitions from cycling image cards through a dark reveal into an immersive blue hero with organic animated shapes.	https://x.com/usernametiago/status/2023450184550601118
recent	tweet	motion	Aave Cards	A clean animated data dashboard showcasing key financial metrics with purple gradient charts that build into view, presenting stats like $1B interest paid and $3.23T in cumulative deposits.	https://x.com/AnaArsonist/status/2077703124014227685
recent	tweet	print	Newsletter Issue No. 01	Sam Stoof's debut newsletter issue cover designs blend bold Swiss-inspired typography with distressed print textures across a series of editorial poster variants in red, orange, and off-white.	https://x.com/samstooff/status/2077715146223300649
recent	tweet	interface	Claimed Location App UI	Mobile UI for Claimed, a location-based app where users claim nearby landmarks, featuring a 3D map view, emoji pins, and a bottom card with a Claim action button.	https://x.com/tyka_dominik/status/2077648756023910682
recent	tweet	motion	Horizon Color Dome	A cinematic 3D motion study featuring a solitary figure dwarfed by a glowing dome that slowly cycles through a full spectrum of color, set against a dark void with neon horizon lighting.	https://x.com/damonxart/status/2017884943154827372
recent	tweet	illustration	Particle Face Illustration	A looping animated illustration of a human face rendered in white particles dissolving into a starry void, blending portraiture with a cosmic, pointillist visual language.	https://x.com/YUDHO_XYZ/status/2077309290050949305
recent	tweet	motion	Playful Delete Interaction	A delightful file deletion microinteraction where users must flick a crumpled file into a trash bin, complete with miss tracking and a toast confirmation on success.	https://x.com/nilseller/status/2077423947004641474
recent	tweet	web	BynarIO Website	A dark cybersecurity website for BynarIO featuring an animated 3D particle globe, floating code overlays, and bold white typography on a deep navy background.	https://x.com/kubadesign/status/2077404172060672252
recent	tweet	interface	Aave Borrow UI	Interactive UI mockup for Aave Pro showing a dark borrow panel with live amount input, token switching between USDC, USDG, and GHO, and dynamic APY updates.	https://x.com/AnaArsonist/status/2077348234058481881
recent	tweet	motion	CSS Coin Hover Effects	CSS-powered hover interactions on GHO stablecoin icons that flip flat or tilt to reveal a coin edge, with smooth gradient transitions between green and purple.	https://x.com/njesenberger/status/2076704256992977368
recent	tweet	motion	Savee Weekly Editorial Showcase	A motion promo from Savee cycling through this week's editorial and photography highlights, blending full-bleed imagery with typographic overlays and a persistent thumbnail carousel.	https://x.com/letsavee/status/2077073262585274499
recent	tweet	interface	Codex Splash Screen Concepts	Four imaginary splash screen concepts for OpenAI Codex featuring bold 3D blue forms including a ribbed sphere, glass orb, atomic rings, and balloon flower across light and dark backgrounds.	https://x.com/areatechnology_/status/2077041713965605001
recent	tweet	print	Oslo 1980 Stamp	A white-on-white embossed postage stamp concept for Nordic Post Oslo 1980, featuring a dot-matrix dove rendered in raised relief with delicate perforated edges.	https://x.com/krisdarzins/status/2077040602131087759
recent	tweet	web	IML300 Student Roster Site	A p5.js-powered class website for IML300 at USC featuring a scrolling list of student names with a vibrant animated color blob that moves through the typography.	https://x.com/4444ian/status/2076713979301531983
recent	tweet	motion	Animated Mascot	A trio of animated mascot characters perched on clouds, designed for a sleep app onboarding. Each pose is distinct against a dark background with soft purple tones and a dreamy illustrative style.	https://x.com/todelsz/status/2076671901733138787
recent	tweet	illustration	Linedash Illustration Style	A set of expressive loose-line illustrations featuring bold black linework with red and blue accents, depicting everyday scenes from cooking to sports in a gestural, editorial style.	https://x.com/OVolosin82152/status/2076791759183429831
recent	tweet	motion	Metal Shader Usage Counter	A liquid metal shader experiment rendered on an iPhone mockup where large numerals drain from glowing green to dark metal as the Codex usage limit ticks down.	https://x.com/Nomandsign/status/2076749587872682297
recent	tweet	web	Impasto Shader Stamp	An animated WebGL shader applied to a postage stamp form for New Craft Society, rendering a painterly impasto texture with dappled light effects inspired by UV prints.	https://x.com/loficosmos1/status/2076867314062946408
recent	tweet	interface	Aave Savings Calculator	A compound interest calculator screen for the Aave mobile app, featuring a draggable chart handle and deposit slider that update projected savings values in real time.	https://x.com/alexvanderzon/status/2076869546896740486
recent	tweet	print	30 Japanese Typography Studies	A series of 30 experimental Japanese typography pieces exploring kanji and kana through bold stylistic treatments including dot-matrix, contour lines, calligraphy, and pixel forms.	https://x.com/hiro000509/status/2076637780097028105
recent	tweet	web	New Yorker Archive Explorer	An interactive web archive of New Yorker covers from 1925 to 2026, rendered in a 3D stacked perspective that mimics flipping through a basket of physical magazines.	https://x.com/vamsibatchuk/status/2076470344748064991
recent	tweet	interface	Etch A Sketch Signature	A whimsical UI concept replacing the standard e-signature field with an interactive Etch A Sketch toy, complete with drawable glass, shake-to-erase, and a satisfying hired confirmation.	https://x.com/adrianabelarde_/status/2076290018193424792
recent	tweet	motion	Survive Particle Animation	A stark black and white particle simulation where organic forms dissolve and reform through cascading spark trails, creating a raw and dramatic motion study.	https://x.com/YUDHO_XYZ/status/2075906441001705573
recent	tweet	print	Underscores Poster Series	A set of three print posters for underscores, blending grainy analog photography with blue pixel-style bitmap typography and textured paper aesthetics.	https://x.com/avecyuno/status/2075863890265829887
recent	tweet	web	Personal Site Hero	A personal portfolio hero page featuring an animated sketchbook carousel that cycles through hand-drawn urban sketches and watercolor travel journal spreads from cities across Asia and the US.	https://x.com/matthewyuart/status/2076105332108231087
recent	tweet	web	Aave Layered Security	A fintech landing page section showcasing layered security features, with an animated isometric app icon separating into security layers and a clean two-column feature layout.	https://x.com/AnaArsonist/status/2075979447061082520
recent	tweet	print	Analog Collage Series	A series of handmade analog collages layering torn newspaper, magazine imagery, and found print ephemera into richly textured mixed-media compositions with an experimental editorial feel.	https://x.com/oliverhamrin/status/2075965093511102465
recent	tweet	print	Numerorum Monochromatic Booklet	A hand-produced monochromatic zine exploring numerology and mysticism through bold editorial typography, multi-script text, celestial diagrams, and densely layered black and white print layouts.	https://x.com/arminv_/status/2075248613727314105
recent	tweet	motion	Recursive Cube Loop	A mesmerizing 3D motion study featuring a recursive hollow cube suspended inside an infinite geometric corridor, rendered in soft grey and white with fluid camera choreography.	https://x.com/jn3008/status/1345852769681469441
