# id	display_face	display_src	body_face	body_src	mono_accent	mono_src	alt_display	mood_tags	register	fallbacks
# src formats: fontsource:@fontsource[-variable]/<pkg> (OFL-1.1[, static]) = npm/self-host/subset OK · fontshare:<slug> (ITF-FFL, download-only) = per-project kit, NEVER vendored/copied/subset. Every fontsource family is also on Google Fonts under the same display name (next/font/google). fallbacks = <display system stack> / <body system stack>. Sample PAIRS: bash scripts/vary.sh vendor/_index/typography.tsv 8 "<register|mood|vertical>" — ship the row, never Frankenstein two rows' display faces. Card: sources/typography.md
dm-pair	DM Serif Display	fontsource:@fontsource/dm-serif-display (OFL-1.1, static)	DM Sans	fontsource:@fontsource-variable/dm-sans (OFL-1.1)	-	-	Melodrama (fontshare)	elegant,geometric,clean,product	designed-as-a-pair	Didot,'Bodoni MT',Georgia,serif / 'Helvetica Neue',Arial,sans-serif
sentient-supreme	Sentient	fontshare:sentient (ITF-FFL, download-only)	Supreme	fontshare:supreme (ITF-FFL, download-only)	-	-	Instrument Serif (fontsource)	elegant,calm,literary,designed-together	designed-as-a-pair	Georgia,'Times New Roman',serif / 'Helvetica Neue',Arial,sans-serif
plex-superfamily	IBM Plex Serif	fontsource:@fontsource/ibm-plex-serif (OFL-1.1, static)	IBM Plex Sans	fontsource:@fontsource-variable/ibm-plex-sans (OFL-1.1)	IBM Plex Mono	fontsource:@fontsource/ibm-plex-mono (OFL-1.1, static)	Literata (fontsource)	superfamily,technical,corporate,coherent	designed-as-a-pair	Georgia,'Times New Roman',serif / 'Helvetica Neue',Arial,sans-serif
syne-spectral	Syne	fontsource:@fontsource-variable/syne (OFL-1.1)	Spectral	fontsource:@fontsource/spectral (OFL-1.1, static)	Fragment Mono	fontsource:@fontsource/fragment-mono (OFL-1.1, static)	Panchang (fontshare)	arty,gallery,geometric,contemporary	arty-geometric-over-serif	Futura,'Century Gothic',sans-serif / Georgia,'Times New Roman',serif
unbounded-faustina	Unbounded	fontsource:@fontsource-variable/unbounded (OFL-1.1)	Faustina	fontsource:@fontsource-variable/faustina (OFL-1.1)	JetBrains Mono	fontsource:@fontsource-variable/jetbrains-mono (OFL-1.1)	Chillax (fontshare)	futurist,arty,expressive,web3	arty-geometric-over-serif	Futura,'Century Gothic',sans-serif / Georgia,serif
epilogue-stix	Epilogue	fontsource:@fontsource-variable/epilogue (OFL-1.1)	STIX Two Text	fontsource:@fontsource-variable/stix-two-text (OFL-1.1)	-	-	Clash Display (fontshare)	fashion,geometric,sharp,editorial	arty-geometric-over-serif	Futura,'Helvetica Neue',sans-serif / 'Times New Roman',Times,serif
fragment-mono-hanken	Fragment Mono	fontsource:@fontsource/fragment-mono (OFL-1.1, static)	Hanken Grotesk	fontsource:@fontsource-variable/hanken-grotesk (OFL-1.1)	Fragment Mono	fontsource:@fontsource/fragment-mono (OFL-1.1, static)	Space Mono (fontsource)	swiss-mono,technical,grid,minimal	technical-editorial-mono	ui-monospace,'SF Mono',Menlo,Consolas,monospace / 'Helvetica Neue',Arial,sans-serif
jetbrains-sora	JetBrains Mono	fontsource:@fontsource-variable/jetbrains-mono (OFL-1.1)	Sora	fontsource:@fontsource-variable/sora (OFL-1.1)	JetBrains Mono	fontsource:@fontsource-variable/jetbrains-mono (OFL-1.1)	IBM Plex Mono (fontsource)	dev,terminal,technical,product	technical-editorial-mono	ui-monospace,'SF Mono',Menlo,Consolas,monospace / 'Helvetica Neue',Arial,sans-serif
spline-mono-pair	Spline Sans Mono	fontsource:@fontsource-variable/spline-sans-mono (OFL-1.1)	Spline Sans	fontsource:@fontsource-variable/spline-sans (OFL-1.1)	Spline Sans Mono	fontsource:@fontsource-variable/spline-sans-mono (OFL-1.1)	JetBrains Mono (fontsource)	docs,technical,soft,friendly	technical-editorial-mono	ui-monospace,Menlo,Consolas,monospace / 'Helvetica Neue',Arial,sans-serif
baloo-nunito	Baloo 2	fontsource:@fontsource-variable/baloo-2 (OFL-1.1)	Nunito	fontsource:@fontsource-variable/nunito (OFL-1.1)	-	-	Chillax (fontshare)	rounded,friendly,app,cheerful	rounded-friendly	'Arial Rounded MT Bold','Trebuchet MS',sans-serif / 'Trebuchet MS',Verdana,sans-serif
quicksand-nunito-sans	Quicksand	fontsource:@fontsource-variable/quicksand (OFL-1.1)	Nunito Sans	fontsource:@fontsource-variable/nunito-sans (OFL-1.1)	-	-	Baloo 2 (fontsource)	soft,calm,wellness,rounded	rounded-friendly	'Arial Rounded MT Bold','Trebuchet MS',sans-serif / 'Trebuchet MS',Verdana,sans-serif
big-shoulders-public	Big Shoulders	fontsource:@fontsource-variable/big-shoulders (OFL-1.1)	Public Sans	fontsource:@fontsource-variable/public-sans (OFL-1.1)	IBM Plex Mono	fontsource:@fontsource/ibm-plex-mono (OFL-1.1, static)	Khand (fontshare)	industrial,condensed,impact,chicago	condensed-impact	'Arial Narrow',Impact,sans-serif / 'Segoe UI',Arial,sans-serif
anybody-manrope	Anybody	fontsource:@fontsource-variable/anybody (OFL-1.1)	Manrope	fontsource:@fontsource-variable/manrope (OFL-1.1)	-	-	Tanker (fontshare)	elastic,wide,loud,sporty	condensed-impact	Impact,'Arial Narrow',sans-serif / 'Helvetica Neue',Arial,sans-serif
stardom-supreme	Stardom	fontshare:stardom (ITF-FFL, download-only)	Supreme	fontshare:supreme (ITF-FFL, download-only)	-	-	Playfair Display SC (fontsource)	glam,luxury,nightlife,high-contrast	dark-luxe	Didot,'Bodoni MT',Georgia,serif / 'Helvetica Neue',Arial,sans-serif
texturina-manrope	Texturina	fontsource:@fontsource-variable/texturina (OFL-1.1)	Manrope	fontsource:@fontsource-variable/manrope (OFL-1.1)	-	-	Stardom (fontshare)	gothic,ornate,dark,mystery	dark-luxe	Georgia,'Times New Roman',serif / 'Helvetica Neue',Arial,sans-serif
garamond-sofia	EB Garamond	fontsource:@fontsource-variable/eb-garamond (OFL-1.1)	Sofia Sans	fontsource:@fontsource-variable/sofia-sans (OFL-1.1)	-	-	Sentient (fontshare)	heritage,luxe,old-style,dark	dark-luxe	Garamond,'Times New Roman',serif / Arial,'Helvetica Neue',sans-serif
tanker-synonym	Tanker	fontshare:tanker (ITF-FFL, download-only)	Synonym	fontshare:synonym (ITF-FFL, download-only)	-	-	Big Shoulders (fontsource)	punk,poster,loud,playful	playful-display	Impact,'Arial Black',sans-serif / 'Helvetica Neue',Arial,sans-serif
fredoka-nunito	Fredoka	fontsource:@fontsource-variable/fredoka (OFL-1.1)	Nunito	fontsource:@fontsource-variable/nunito (OFL-1.1)	-	-	Chillax (fontshare)	playful,chunky,candy,kids	playful-display	'Arial Rounded MT Bold','Trebuchet MS',sans-serif / 'Trebuchet MS',Verdana,sans-serif
switzer-solo	Switzer	fontshare:switzer (ITF-FFL, download-only)	Switzer	fontshare:switzer (ITF-FFL, download-only)	-	-	Archivo (fontsource)	swiss,quiet,neutral,precise	quiet-swiss	'Helvetica Neue',Helvetica,Arial,sans-serif / 'Helvetica Neue',Helvetica,Arial,sans-serif
archivo-solo	Archivo	fontsource:@fontsource-variable/archivo (OFL-1.1)	Archivo	fontsource:@fontsource-variable/archivo (OFL-1.1)	Fragment Mono	fontsource:@fontsource/fragment-mono (OFL-1.1, static)	Switzer (fontshare)	swiss,systematic,neutral,versatile	quiet-swiss	'Helvetica Neue',Arial,sans-serif / 'Helvetica Neue',Arial,sans-serif
