# source	name	title	description	npm_deps	registry_deps	vendored_file
magicui	shimmer-button	Shimmer Button	A button with a shimmering light which travels around the perimeter.			vendor/magicui/r/shimmer-button.json
magicui	tweet-card	Tweet Card	A card that displays a tweet with the author's name, handle, and profile picture.	react-tweet		vendor/magicui/r/tweet-card.json
magicui	client-tweet-card	Client Tweet Card	A client-side version of the tweet card that displays a tweet with the author's name, handle, and profile picture.	react-tweet		vendor/magicui/r/client-tweet-card.json
magicui	bento-grid	Bento Grid	Bento grid is a layout used to showcase the features of a product in a simple and elegant way.	@radix-ui/react-icons	button	vendor/magicui/r/bento-grid.json
magicui	particles	Particles	Particles are a fun way to add some visual flair to your website. They can be used to create a sense of depth, movement, and interactivity.			vendor/magicui/r/particles.json
magicui	number-ticker	Number Ticker	Animate numbers to count up or down to a target number	motion		vendor/magicui/r/number-ticker.json
magicui	ripple	Ripple	An animated ripple effect typically used behind elements to emphasize them.			vendor/magicui/r/ripple.json
magicui	retro-grid	Retro Grid	An animated scrolling retro grid effect			vendor/magicui/r/retro-grid.json
magicui	animated-list	Animated List	A list that animates each item in sequence with a delay. Used to showcase notifications or events on your landing page.	motion		vendor/magicui/r/animated-list.json
magicui	animated-shiny-text	Animated Shiny Text	A light glare effect which pans across text making it appear as if it is shimmering.			vendor/magicui/r/animated-shiny-text.json
magicui	animated-grid-pattern	Animated Grid Pattern	A animated background grid pattern made with SVGs, fully customizable using Tailwind CSS.	motion		vendor/magicui/r/animated-grid-pattern.json
magicui	border-beam	Border Beam	An animated beam of light which travels along the border of its container.	motion		vendor/magicui/r/border-beam.json
magicui	animated-beam	Animated Beam	An animated beam of light which travels along a path. Useful for showcasing the integration features of a website.	motion		vendor/magicui/r/animated-beam.json
magicui	text-reveal	Text Reveal	Fade in text as you scroll down the page.	motion		vendor/magicui/r/text-reveal.json
magicui	dia-text-reveal	Dia Text Reveal	A horizontal color band sweeps across text, revealing a gradient shine before settling on the base color.	motion		vendor/magicui/r/dia-text-reveal.json
magicui	hyper-text	Hyper Text	A text animation that scrambles letters before revealing the final text.	motion		vendor/magicui/r/hyper-text.json
magicui	animated-gradient-text	Animated Gradient Text	An animated gradient background which transitions between colors for text.			vendor/magicui/r/animated-gradient-text.json
magicui	orbiting-circles	Orbiting Circles	A collection of circles which move in orbit along a circular path			vendor/magicui/r/orbiting-circles.json
magicui	dock	Dock	An implementation of the MacOS dock using react + tailwindcss + motion	motion		vendor/magicui/r/dock.json
magicui	word-rotate	Word Rotate	A vertical rotation of words	motion		vendor/magicui/r/word-rotate.json
magicui	avatar-circles	Avatar Circles	Overlapping circles of avatars.			vendor/magicui/r/avatar-circles.json
magicui	typing-animation	Typing Animation	Characters appearing in typed animation	motion		vendor/magicui/r/typing-animation.json
magicui	sparkles-text	Sparkles Text	A dynamic text that generates continuous sparkles with smooth transitions, perfect for highlighting text with animated stars.	motion		vendor/magicui/r/sparkles-text.json
magicui	spinning-text	Spinning Text	The Spinning Text component animates text in a circular motion with customizable speed, direction, color, and transitions for dynamic and engaging effects.	motion		vendor/magicui/r/spinning-text.json
magicui	comic-text	Comic Text	Comic text animation	motion		vendor/magicui/r/comic-text.json
magicui	icon-cloud	Icon Cloud	An interactive 3D tag cloud component	lucide-react	button	vendor/magicui/r/icon-cloud.json
magicui	text-animate	Text Animate	A text animation component that animates text using a variety of different animations.	motion		vendor/magicui/r/text-animate.json
magicui	scroll-based-velocity	Scroll Based Velocity	Scrolling text whose speed changes based on scroll speed	motion		vendor/magicui/r/scroll-based-velocity.json
magicui	shiny-button	Shiny Button	A shiny button component with dynamic styles in the dark mode or light mode.	motion		vendor/magicui/r/shiny-button.json
magicui	shine-border	Shine Border	Shine border is an animated background border effect.			vendor/magicui/r/shine-border.json
magicui	animated-circular-progress-bar	Animated Circular Progress Bar	Animated Circular Progress Bar is a component that displays a circular gauge with a percentage value.			vendor/magicui/r/animated-circular-progress-bar.json
magicui	confetti	Confetti	Confetti animations are best used to delight your users when something special happens	canvas-confetti,@types/canvas-confetti	button	vendor/magicui/r/confetti.json
magicui	cool-mode	Cool Mode	Cool mode effect for buttons, links, and other DOMs			vendor/magicui/r/cool-mode.json
magicui	pulsating-button	Pulsating Button	An animated pulsating button useful for capturing attention of users.			vendor/magicui/r/pulsating-button.json
magicui	ripple-button	Ripple Button	An animated button with ripple useful for user engagement.			vendor/magicui/r/ripple-button.json
magicui	file-tree	File Tree	A component used to showcase the folder and file structure of a directory.			vendor/magicui/r/file-tree.json
magicui	blur-fade	Blur Fade	Blur fade in and out animation. Used to smoothly fade in and out content.	motion		vendor/magicui/r/blur-fade.json
magicui	safari	Safari	A safari browser mockup to showcase your website.			vendor/magicui/r/safari.json
magicui	iphone	iPhone	A mockup of the iPhone			vendor/magicui/r/iphone.json
magicui	rainbow-button	Rainbow Button	An animated button with a rainbow effect.			vendor/magicui/r/rainbow-button.json
magicui	interactive-hover-button	interactive-hover-button				vendor/magicui/r/interactive-hover-button.json
magicui	terminal	Terminal	A terminal component			vendor/magicui/r/terminal.json
magicui	video-text	Video Text	A component that displays text with a video playing in the background.			vendor/magicui/r/video-text.json
magicui	pixel-image	Pixel Image	A component that displays an image with a pixelated effect, creating a retro aesthetic.			vendor/magicui/r/pixel-image.json
magicui	highlighter	Highlighter	A text highlighter that mimics the effect of a human-drawn marker stroke.	motion,rough-notation		vendor/magicui/r/highlighter.json
magicui	animated-theme-toggler	Theme Toggler	Theme toggle with View Transitions and animated clip-path masks (circle, polygons, star), optional viewport-centered origin.	lucide-react		vendor/magicui/r/animated-theme-toggler.json
magicui	light-rays	Light Rays	A component with animated light rays which shine down from above.	motion		vendor/magicui/r/light-rays.json
magicui	dotted-map	Dotted Map	A component with a dotted map.	svg-dotted-map		vendor/magicui/r/dotted-map.json
magicui	backlight	Backlight	A backlight glow effect for videos, images, and SVGs.			vendor/magicui/r/backlight.json
magicui	kinetic-text	Kinetic Text	A text component that animates font weight of characters on hover.			vendor/magicui/r/kinetic-text.json
magicui	text-3d-flip	Text 3D Flip	A text effect that flips each letter in 3D with a staggered animation on hover.	motion		vendor/magicui/r/text-3d-flip.json
kokonutui	ai-prompt	AI Input Selector	My own style of chat AI input.	lucide-react,motion	textarea,button,dropdown-menu	vendor/kokonutui/r/ai-prompt.json
kokonutui	command-button	Command Button	Command button for shortcut.	lucide-react	button	vendor/kokonutui/r/command-button.json
kokonutui	card-flip	Card Flip	Animated flip card with gradient button and animation.	lucide-react		vendor/kokonutui/r/card-flip.json
kokonutui	smooth-drawer	Smooth Drawer	Smooth slide-in drawer. (this was harder than i thought to make that one)	motion	drawer,button	vendor/kokonutui/r/smooth-drawer.json
kokonutui	shape-hero	Shapes Hero	Shapes that fall from the top.	motion		vendor/kokonutui/r/shape-hero.json
kokonutui	ai-text-loading	AI Text Loading	Thinking mode.	motion		vendor/kokonutui/r/ai-text-loading.json
kokonutui	shimmer-text	Shimmer Text	Quite fancy.	motion		vendor/kokonutui/r/shimmer-text.json
kokonutui	carousel-cards	Carousel Cards	Interactive carousel with card navigation.	lucide-react	card,badge,button	vendor/kokonutui/r/carousel-cards.json
kokonutui	file-upload	File Upload	File upload with special uploading animation. Make sure to try the drag and drop.	lucide-react,motion		vendor/kokonutui/r/file-upload.json
kokonutui	action-search-bar	Action Search Bar	Action Bar with shortcuts, and smooth dropdown animation.	lucide-react,motion	input	vendor/kokonutui/r/action-search-bar.json
kokonutui	ai-input-search	AI Input Search	AI input with search mode.	motion	textarea	vendor/kokonutui/r/ai-input-search.json
kokonutui	currency-transfer	Currency Transfer	Multiples step animation transaction inspired.	lucide-react,motion	card,tooltip	vendor/kokonutui/r/currency-transfer.json
kokonutui	background-paths	Background Paths	Drawed line paths in the middle.	motion		vendor/kokonutui/r/background-paths.json
kokonutui	beams-background	Beams Background	Animated Beams in the background that are customizable.	motion		vendor/kokonutui/r/beams-background.json
kokonutui	apple-activity-card	Apple Activity Card	Inspired by Apple activity app.	motion		vendor/kokonutui/r/apple-activity-card.json
kokonutui	ai-voice	AI Voice	Voice mode.	motion,lucide-react		vendor/kokonutui/r/ai-voice.json
kokonutui	smooth-tab	Smooth Tab	Animated tab switcher.	motion,lucide-react		vendor/kokonutui/r/smooth-tab.json
kokonutui	team-selector	Team Selector	Group selector with a different style.	motion		vendor/kokonutui/r/team-selector.json
kokonutui	switch-button	Switch Button	Animated shadow theme switcher button.	lucide-react	button	vendor/kokonutui/r/switch-button.json
kokonutui	bento-grid	Bento Grid	Grid of 4 cards with different content and animations.	lucide-react,motion		vendor/kokonutui/r/bento-grid.json
kokonutui	social-button	Social Button	Animated Social show-up	lucide-react,motion	button	vendor/kokonutui/r/social-button.json
kokonutui	hold-button	Hold Button	Hold Button with different hold duration and colors.	lucide-react,motion	button	vendor/kokonutui/r/hold-button.json
kokonutui	attract-button	Magnet Button	Attract particles button!	lucide-react,motion	button	vendor/kokonutui/r/attract-button.json
kokonutui	gradient-button	Gradient Button	That was so hard to make.		button	vendor/kokonutui/r/gradient-button.json
kokonutui	v0-button	V0 Button	Open in V0.		button	vendor/kokonutui/r/v0-button.json
kokonutui	toolbar	Toolbar	Multiples actions toolbar inspired by Figma.	lucide-react,motion		vendor/kokonutui/r/toolbar.json
kokonutui	ai-loading	AI State Loading	Code loading pending.	motion		vendor/kokonutui/r/ai-loading.json
kokonutui	card-stack	Stack	Stack of cards that expend onclick.	motion		vendor/kokonutui/r/card-stack.json
kokonutui	avatar-picker	Avatar Picker	Avatar picker with rotation animation.	lucide-react,motion	card,button,input	vendor/kokonutui/r/avatar-picker.json
kokonutui	type-writer	Typing Text	Animated TypeWritter with multiples options.	motion		vendor/kokonutui/r/type-writer.json
kokonutui	swoosh-text	Swoosh Text	Nike inspired Text	motion		vendor/kokonutui/r/swoosh-text.json
kokonutui	sliced-text	Sliced Text	I haven't found any usage for that component, but i like it.	motion		vendor/kokonutui/r/sliced-text.json
kokonutui	glitch-text	Glitch Text	Why not?	motion		vendor/kokonutui/r/glitch-text.json
kokonutui	matrix-text	Matrix Text	010110010110111101110101011100100010000001110111011001010110110001100011011011110110110101100101	motion		vendor/kokonutui/r/matrix-text.json
kokonutui	dynamic-text	Dynamic Text	Dynamic switcher text.	motion		vendor/kokonutui/r/dynamic-text.json
kokonutui	particle-button	Particle Button	Particle Button Animation on click.	lucide-react,motion	button	vendor/kokonutui/r/particle-button.json
kokonutui	tweet-card	X Card	Gradient on hover X card. (The post is real!)	lucide-react		vendor/kokonutui/r/tweet-card.json
kokonutui	scroll-text	Scroll Text	Animated on scroll texts.	motion		vendor/kokonutui/r/scroll-text.json
kokonutui	liquid-glass-card	Liquid Glass	Liquid Glass inspired by @Apple	lucide-react		vendor/kokonutui/r/liquid-glass-card.json
kokonutui	profile-dropdown	Profile Dropdown	Menu dropdown with action buttons.	lucide-react	dropdown-menu	vendor/kokonutui/r/profile-dropdown.json
kokonutui	flow-field	flow-field		motion		vendor/kokonutui/r/flow-field.json
kokonutui	loader	loader		motion		vendor/kokonutui/r/loader.json
kokonutui	morphic-navbar	morphic-navbar		clsx		vendor/kokonutui/r/morphic-navbar.json
kokonutui	mouse-effect-card	mouse-effect-card		motion	card,button	vendor/kokonutui/r/mouse-effect-card.json
kokonutui	slide-text-button	slide-text-button		motion	button	vendor/kokonutui/r/slide-text-button.json
kokonutui	spotlight-cards	spotlight-cards		motion,lucide-react		vendor/kokonutui/r/spotlight-cards.json
reactbits	AnimatedContent-TS-TW	AnimatedContent	Wrapper that animates any children on scroll or mount with configurable direction, distance, duration, easing and disappear options.	gsap@^3.13.0		vendor/reactbits/r/AnimatedContent-TS-TW.json
reactbits	BlobCursor-TS-TW	BlobCursor	Organic blob cursor that smoothly follows the pointer with inertia and elastic morphing.	gsap@^3.13.0		vendor/reactbits/r/BlobCursor-TS-TW.json
reactbits	ClickSpark-TS-TW	ClickSpark	Creates particle spark bursts at click position.			vendor/reactbits/r/ClickSpark-TS-TW.json
reactbits	Crosshair-TS-TW	Crosshair	Custom crosshair cursor with tracking, and link hover effects.	gsap@^3.13.0		vendor/reactbits/r/Crosshair-TS-TW.json
reactbits	Cubes-TS-TW	Cubes	3D rotating cube cluster. Supports auto-rotation or hover interaction.	gsap@^3.13.0		vendor/reactbits/r/Cubes-TS-TW.json
reactbits	ElectricBorder-TS-TW	ElectricBorder	Jittery electric energy border with animated arcs, glow and adjustable intensity.			vendor/reactbits/r/ElectricBorder-TS-TW.json
reactbits	FadeContent-TS-TW	FadeContent	Simple directional fade / slide entrance / exit wrapper with threshold-based activation.	gsap@^3.13.0		vendor/reactbits/r/FadeContent-TS-TW.json
reactbits	GlareHover-TS-TW	GlareHover	Adds a realistic moving glare highlight on hover over any element.			vendor/reactbits/r/GlareHover-TS-TW.json
reactbits	GradualBlur-TS-TW	GradualBlur	Progressively un-blurs content based on scroll or trigger creating a cinematic reveal.			vendor/reactbits/r/GradualBlur-TS-TW.json
reactbits	GhostCursor-TS-TW	GhostCursor	Semi-transparent ghost cursor that smoothly follows the real cursor with a trailing effect.	three@^0.180.0		vendor/reactbits/r/GhostCursor-TS-TW.json
reactbits	ImageTrail-TS-TW	ImageTrail	Cursor-based image trail with several built-in variants.	gsap@^3.13.0		vendor/reactbits/r/ImageTrail-TS-TW.json
reactbits	LogoLoop-TS-TW	LogoLoop	Continuously looping marquee of brand or tech logos with seamless repeat and hover pause.			vendor/reactbits/r/LogoLoop-TS-TW.json
reactbits	Magnet-TS-TW	Magnet	Elements magnetically ease toward the cursor then settle back with spring physics.			vendor/reactbits/r/Magnet-TS-TW.json
reactbits	MagnetLines-TS-TW	MagnetLines	Animated field lines bend toward the cursor.			vendor/reactbits/r/MagnetLines-TS-TW.json
reactbits	MetaBalls-TS-TW	MetaBalls	Liquid metaball blobs that merge and separate with smooth implicit surface animation.	ogl@^1.0.11		vendor/reactbits/r/MetaBalls-TS-TW.json
reactbits	Strands-TS-TW	Strands	Glowing ribbon-like strands that ripple and weave across a transparent canvas.	ogl@^1.0.11		vendor/reactbits/r/Strands-TS-TW.json
reactbits	MetallicPaint-TS-TW	MetallicPaint	Liquid metallic paint shader which can be applied to SVG elements.			vendor/reactbits/r/MetallicPaint-TS-TW.json
reactbits	Noise-TS-TW	Noise	Animated film grain / noise overlay adding subtle texture and motion.			vendor/reactbits/r/Noise-TS-TW.json
reactbits	PixelTrail-TS-TW	PixelTrail	Pixelated cursor trail emitting fading squares with retro digital feel.	@react-three/drei@^10.7.4,@react-three/fiber@^9.3.0,three@^0.180.0		vendor/reactbits/r/PixelTrail-TS-TW.json
reactbits	PixelTransition-TS-TW	PixelTransition	Pixel dissolve transition for content reveal on hover.	gsap@^3.13.0		vendor/reactbits/r/PixelTransition-TS-TW.json
reactbits	Ribbons-TS-TW	Ribbons	Flowing responsive ribbons/cursor trail driven by physics and pointer motion.	ogl@^1.0.11		vendor/reactbits/r/Ribbons-TS-TW.json
reactbits	ShapeBlur-TS-TW	ShapeBlur	Morphing blurred geometric shape. The effect occurs on hover.	three@^0.180.0		vendor/reactbits/r/ShapeBlur-TS-TW.json
reactbits	SplashCursor-TS-TW	SplashCursor	Liquid splash burst at cursor with curling ripples and waves.			vendor/reactbits/r/SplashCursor-TS-TW.json
reactbits	StarBorder-TS-TW	StarBorder	Animated star / sparkle border orbiting content with twinkle pulses.			vendor/reactbits/r/StarBorder-TS-TW.json
reactbits	StickerPeel-TS-TW	StickerPeel	Sticker corner lift + peel interaction using 3D transform and shadow depth.	gsap@^3.13.0		vendor/reactbits/r/StickerPeel-TS-TW.json
reactbits	TargetCursor-TS-TW	TargetCursor	A cursor follow animation with 4 corners that lock onto targets.	gsap@^3.13.0		vendor/reactbits/r/TargetCursor-TS-TW.json
reactbits	LaserFlow-TS-TW	LaserFlow	Dynamic laser light that flows onto a surface, customizable effect.	three@^0.180.0		vendor/reactbits/r/LaserFlow-TS-TW.json
reactbits	Antigravity-TS-TW	Antigravity	3D antigravity particle field that repels from the cursor with smooth motion.	@react-three/fiber@^9.3.0,three@^0.180.0		vendor/reactbits/r/Antigravity-TS-TW.json
reactbits	OrbitImages-TS-TW	OrbitImages	SVG Path customizable orbiting images effect	motion@^12.23.12		vendor/reactbits/r/OrbitImages-TS-TW.json
reactbits	MagicRings-TS-TW	MagicRings	Interactive magic rings effect with customizable parameters.	three@^0.180.0		vendor/reactbits/r/MagicRings-TS-TW.json
reactbits	ASCIIText-TS-TW	ASCIIText	Renders text with an animated ASCII background for a retro feel.	three@^0.180.0		vendor/reactbits/r/ASCIIText-TS-TW.json
reactbits	BlurText-TS-TW	BlurText	Text starts blurred then crisply resolves for a soft-focus reveal effect.	motion@^12.23.12		vendor/reactbits/r/BlurText-TS-TW.json
reactbits	CircularText-TS-TW	CircularText	Layouts characters around a circle with optional rotation animation.	motion@^12.23.12		vendor/reactbits/r/CircularText-TS-TW.json
reactbits	CountUp-TS-TW	CountUp	Animated number counter supporting formatting and decimals.	motion@^12.23.12		vendor/reactbits/r/CountUp-TS-TW.json
reactbits	CurvedLoop-TS-TW	CurvedLoop	Flowing looping text path along a customizable curve with drag interaction.			vendor/reactbits/r/CurvedLoop-TS-TW.json
reactbits	DecryptedText-TS-TW	DecryptedText	Hacker-style decryption cycling random glyphs until resolving to real text.	motion@^12.23.12		vendor/reactbits/r/DecryptedText-TS-TW.json
reactbits	FallingText-TS-TW	FallingText	Characters fall with gravity + bounce creating a playful entrance.	matter-js@^0.20.0		vendor/reactbits/r/FallingText-TS-TW.json
reactbits	FuzzyText-TS-TW	FuzzyText	Vibrating fuzzy text with controllable hover intensity.			vendor/reactbits/r/FuzzyText-TS-TW.json
reactbits	GlitchText-TS-TW	GlitchText	RGB split and distortion glitch effect with jitter effects.			vendor/reactbits/r/GlitchText-TS-TW.json
reactbits	GradientText-TS-TW	GradientText	Animated gradient sweep across live text with speed and color control.	motion@^12.23.12		vendor/reactbits/r/GradientText-TS-TW.json
reactbits	RotatingText-TS-TW	RotatingText	Cycles through multiple phrases with 3D rotate / flip transitions.	motion@^12.23.12		vendor/reactbits/r/RotatingText-TS-TW.json
reactbits	ScrambledText-TS-TW	ScrambledText	Detects cursor position and applies a distortion effect to text.	gsap@^3.13.0		vendor/reactbits/r/ScrambledText-TS-TW.json
reactbits	ScrollFloat-TS-TW	ScrollFloat	Text gently floats / parallax shifts on scroll.	gsap@^3.13.0		vendor/reactbits/r/ScrollFloat-TS-TW.json
reactbits	ScrollReveal-TS-TW	ScrollReveal	Text gently unblurs and reveals on scroll.	gsap@^3.13.0		vendor/reactbits/r/ScrollReveal-TS-TW.json
reactbits	ScrollVelocity-TS-TW	ScrollVelocity	Text marquee animatio - speed and distortion scale with user's scroll velocity.	motion@^12.23.12		vendor/reactbits/r/ScrollVelocity-TS-TW.json
reactbits	ShinyText-TS-TW	ShinyText	Metallic sheen sweeps across text producing a reflective highlight.	motion@^12.23.12		vendor/reactbits/r/ShinyText-TS-TW.json
reactbits	SplitText-TS-TW	SplitText	Splits text into characters / words for staggered entrance animation.	gsap@^3.13.0,@gsap/react@^2.1.2		vendor/reactbits/r/SplitText-TS-TW.json
reactbits	TextCursor-TS-TW	TextCursor	Make any text element follow your cursor, leaving a trail of copies behind it.	motion@^12.23.12		vendor/reactbits/r/TextCursor-TS-TW.json
reactbits	TextPressure-TS-TW	TextPressure	Characters scale / warp interactively based on pointer pressure zone.			vendor/reactbits/r/TextPressure-TS-TW.json
reactbits	TextType-TS-TW	TextType	Typewriter effect with blinking cursor and adjustable typing cadence.	gsap@^3.13.0		vendor/reactbits/r/TextType-TS-TW.json
reactbits	TrueFocus-TS-TW	TrueFocus	Applies dynamic blur / clarity based over a series of words in order.	motion@^12.23.12		vendor/reactbits/r/TrueFocus-TS-TW.json
reactbits	VariableProximity-TS-TW	VariableProximity	Letter styling changes continuously with pointer distance mapping.	motion@^12.23.12		vendor/reactbits/r/VariableProximity-TS-TW.json
reactbits	Shuffle-TS-TW	Shuffle	Animated text reveal where characters shuffle before settling.	gsap@^3.13.0,@gsap/react@^2.1.2		vendor/reactbits/r/Shuffle-TS-TW.json
reactbits	AnimatedList-TS-TW	AnimatedList	List items enter with staggered motion variants for polished reveals.	motion@^12.23.12		vendor/reactbits/r/AnimatedList-TS-TW.json
reactbits	BounceCards-TS-TW	BounceCards	Cards bounce that bounce in on mount.	gsap@^3.13.0		vendor/reactbits/r/BounceCards-TS-TW.json
reactbits	BubbleMenu-TS-TW	BubbleMenu	Floating circular expanding menu with staggered item reveal.	gsap@^3.13.0		vendor/reactbits/r/BubbleMenu-TS-TW.json
reactbits	CardNav-TS-TW	CardNav	Expandable navigation bar with card panels revealing nested links.	gsap@^3.13.0,react-icons@^5.5.0		vendor/reactbits/r/CardNav-TS-TW.json
reactbits	CardSwap-TS-TW	CardSwap	Cards animate position swapping with smooth layout transitions.	gsap@^3.13.0		vendor/reactbits/r/CardSwap-TS-TW.json
reactbits	Carousel-TS-TW	Carousel	Responsive carousel with touch gestures, looping and transitions.	motion@^12.23.12,react-icons@^5.5.0		vendor/reactbits/r/Carousel-TS-TW.json
reactbits	ChromaGrid-TS-TW	ChromaGrid	A responsive grid of grayscale tiles. Hovering the grid reaveals their colors.	gsap@^3.13.0		vendor/reactbits/r/ChromaGrid-TS-TW.json
reactbits	CircularGallery-TS-TW	CircularGallery	Circular orbit gallery rotating images.	ogl@^1.0.11		vendor/reactbits/r/CircularGallery-TS-TW.json
reactbits	Counter-TS-TW	Counter	Flexible animated counter supporting increments + easing.	motion@^12.23.12		vendor/reactbits/r/Counter-TS-TW.json
reactbits	DecayCard-TS-TW	DecayCard	Hover parallax effect that disintegrates the content of a card.	gsap@^3.13.0		vendor/reactbits/r/DecayCard-TS-TW.json
reactbits	Dock-TS-TW	Dock	macOS style magnifying dock with proximity scaling of icons.	motion@^12.23.12		vendor/reactbits/r/Dock-TS-TW.json
reactbits	DomeGallery-TS-TW	DomeGallery	Immersive 3D dome gallery projecting images on a hemispheric surface.	@use-gesture/react@^10.2.27		vendor/reactbits/r/DomeGallery-TS-TW.json
reactbits	ElasticSlider-TS-TW	ElasticSlider	Slider handle stretches elastically then snaps with spring physics.	motion@^12.23.12		vendor/reactbits/r/ElasticSlider-TS-TW.json
reactbits	FlowingMenu-TS-TW	FlowingMenu	Liquid flowing active indicator glides between menu items.	gsap@^3.13.0		vendor/reactbits/r/FlowingMenu-TS-TW.json
reactbits	FluidGlass-TS-TW	FluidGlass	Glassmorphism container with animated liquid distortion refraction.	three@^0.180.0,@react-three/fiber@^9.3.0,@react-three/drei@^10.7.4,maath@^0.10.8		vendor/reactbits/r/FluidGlass-TS-TW.json
reactbits	FlyingPosters-TS-TW	FlyingPosters	3D posters rotate on scroll infinitely.	ogl@^1.0.11		vendor/reactbits/r/FlyingPosters-TS-TW.json
reactbits	Folder-TS-TW	Folder	Interactive folder opens to reveal nested content smooth motion.			vendor/reactbits/r/Folder-TS-TW.json
reactbits	GlassIcons-TS-TW	GlassIcons	Icon set styled with frosted glass blur.			vendor/reactbits/r/GlassIcons-TS-TW.json
reactbits	GlassSurface-TS-TW	GlassSurface	Advanced Apple-style glass surface with real-time distortion + lighting.			vendor/reactbits/r/GlassSurface-TS-TW.json
reactbits	GooeyNav-TS-TW	GooeyNav	Navigation indicator morphs with gooey blob transitions between items.			vendor/reactbits/r/GooeyNav-TS-TW.json
reactbits	InfiniteMenu-TS-TW	InfiniteMenu	Horizontally looping menu effect that scrolls endlessly with seamless wrap.	gl-matrix@^3.4.3		vendor/reactbits/r/InfiniteMenu-TS-TW.json
reactbits	Lanyard-TS-TW	Lanyard	Swinging 3D lanyard / badge card with realistic inertial motion.			vendor/reactbits/r/Lanyard-TS-TW.json
reactbits	MagicBento-TS-TW	MagicBento	Interactive bento grid tiles expand + animate with various options.	gsap@^3.13.0		vendor/reactbits/r/MagicBento-TS-TW.json
reactbits	Masonry-TS-TW	Masonry	Responsive masonry layout with animated reflow + gaps optimization.	gsap@^3.13.0		vendor/reactbits/r/Masonry-TS-TW.json
reactbits	ModelViewer-TS-TW	ModelViewer	Three.js model viewer with orbit controls and lighting presets.	@react-three/fiber@^9.3.0,@react-three/drei@^10.7.4,three@^0.180.0		vendor/reactbits/r/ModelViewer-TS-TW.json
reactbits	PillNav-TS-TW	PillNav	Minimal pill nav with sliding active highlight + smooth easing.	react-router-dom@^6.30.1,gsap@^3.13.0		vendor/reactbits/r/PillNav-TS-TW.json
reactbits	PixelCard-TS-TW	PixelCard	Card content revealed through pixel expansion transition.			vendor/reactbits/r/PixelCard-TS-TW.json
